MLD,IN_PH,IN_TSS,IN_COD,IN_BOD,IN_MPN,OUT_PH,OUT_DO,OUT_TSS,OUT_COD,OUT_BOD,OUT_MPN
0.8099195473432942,0.5937500000000007,0.6795580110497238,0.38181818181818183,0.5794392523364486,0.3655139289145053,7.7,5.1,40.0,72.0,28.0,0.067
0.8364424012023693,0.48437500000000033,0.6187845303867403,0.45454545454545453,0.5327102803738317,0.30835734870316994,7.65,4.8,37.0,80.0,25.0,0.0675
0.8099195473432942,0.5625,0.5359116022099447,0.34545454545454546,0.5794392523364486,0.2689721421709894,7.72,5.2,47.0,88.0,27.0,0.06316666666666666
0.8541243037750862,0.29687500000000033,0.5359116022099447,0.41818181818181815,0.48598130841121495,0.25936599423631124,7.64,5.0,37.0,64.0,24.0,0.055
0.9071700114932367,0.40625000000000067,0.6795580110497238,0.45454545454545453,0.6074766355140186,0.23919308357348698,7.69,5.1,41.0,80.0,28.0,0.07183333333333333
0.8541243037750862,0.4375,0.6408839779005525,0.5272727272727272,0.6728971962616822,0.23150816522574447,7.67,4.9,39.0,84.0,25.0,0.06783333333333334
0.8806471576341615,0.375,0.7237569060773481,0.4909090909090909,0.6261682242990654,0.23150816522574447,7.61,4.7,36.0,68.0,27.0,0.07083333333333335
0.5712138626116171,0.5156249999999997,0.580110497237569,0.43636363636363634,0.6728971962616822,0.4438040345821326,7.7,5.1,43.0,76.0,26.0,0.07050000000000001
0.633100521616126,0.6093750000000003,0.6795580110497238,0.5636363636363636,0.5794392523364486,0.2372718539865514,7.72,4.8,45.0,80.0,28.0,0.07566666666666667
0.7922376447705773,0.5,0.5580110497237569,0.45454545454545453,0.48598130841121495,0.3314121037463977,7.65,5.0,42.0,88.0,25.0,0.07500000000000001
0.5888957651843338,0.46875000000000067,0.7348066298342542,0.41818181818181815,0.6074766355140186,0.4490874159462055,7.63,4.8,46.0,80.0,28.0,0.06566666666666668
0.7215100344797101,0.40625000000000067,0.5524861878453039,0.34545454545454546,0.5607476635514018,0.48799231508165225,7.6,5.0,38.0,72.0,26.0,0.068
0.7391919370524269,0.28125000000000067,0.48066298342541436,0.38181818181818183,0.6261682242990654,0.2612872238232469,7.56,4.9,45.0,84.0,27.0,0.068
0.5358500574661834,0.375,0.574585635359116,0.41818181818181815,0.5327102803738317,0.4658981748318924,7.65,5.0,45.0,80.0,25.0,0.06916666666666667
0.7215100344797101,0.5781249999999997,0.6187845303867403,0.34545454545454546,0.48598130841121495,0.40778097982708933,7.72,4.9,39.0,72.0,27.0,0.06833333333333334
